Code,Name,Altitude,Latitude,Longitude
LECO,A Coruna Airport,326,43.302059,-8.37725
EDKA,Aachen Merzbruck Airport,626,50.821899,6.184759
EKYT,Aalborg Airport,3,57.095112,9.855172
EKAH,Aarhus Airport,71,56.303295,10.619129
EKAC,Aarhus Sea Airport,1,56.151993,10.247725
BGAA,Aasiaat Airport,74,68.72184,-52.784698
OIAA,Abadan Airport,19,30.371111,48.228329
UNAA,Abakan International Airport,831,53.740002,91.385002
CYXX,Abbotsford International Airport,195,49.025269,-122.360001
NGTB,Abemama Airport,8,0.490833,173.828598
